ky	kx	wcc_0	wcc_1
0.07500000000000001	0.025	-0.25628142293463146	-0.04113312106439025
0.07500000000000001	0.05	-0.2569008775320532	-0.03851346903188791
0.07500000000000001	0.07500000000000001	-0.2574880595014128	-0.03603737139113153
0.07500000000000001	0.1	-0.2580296593953087	-0.033759612878573694
0.07500000000000001	0.125	-0.2585136077737941	-0.03172929300557878
0.07500000000000001	0.15000000000000002	-0.2589292964659353	-0.029989097177909985
0.07500000000000001	0.17500000000000002	-0.2592677520431029	-0.02857478178339957
0.07500000000000001	0.2	-0.2595217658837352	-0.027514833526307132
0.07500000000000001	0.225	-0.2596859868054111	-0.026830260214139093
0.07500000000000001	0.25	-0.25975698262180513	-0.026534473158402336
0.07500000000000001	0.275	-0.25973327626162795	-0.026633228823592623
0.07500000000000001	0.30000000000000004	-0.259615360483084	-0.02712460784498145
0.07500000000000001	0.325	-0.2594056930211549	-0.027999021751564327
0.07500000000000001	0.35000000000000003	-0.2591086715479688	-0.029239250633921417
0.07500000000000001	0.375	-0.25873058545682737	-0.030820527674750305
0.07500000000000001	0.4	-0.25827953954105576	-0.03271069795484286
0.07500000000000001	0.42500000000000004	-0.2577653434441853	-0.03487048810360394
0.07500000000000001	0.45	-0.2571993605670269	-0.03725392877330709
0.07500000000000001	0.47500000000000003	-0.2565943111002573	-0.03980897203324805
0.07500000000000001	0.5	-0.25596402605279106	-0.042478339231290525
0.07500000000000001	0.525	-0.2553231524501472	-0.0452006209442888
0.07500000000000001	0.55	-0.2546868139825022	-0.04791162982503556
0.07500000000000001	0.5750000000000001	-0.2540702358055968	-0.050545981528255235
0.07500000000000001	0.6000000000000001	-0.2534883463134616	-0.05303885211229648
0.07500000000000001	0.625	-0.2529553718321651	-0.055327837009421135
0.07500000000000001	0.65	-0.25248444173583534	-0.05735482135247821
0.07500000000000001	0.675	-0.25208722111584453	-0.05906776717505766
0.07500000000000001	0.7000000000000001	-0.2517735858875986	-0.06042233023506042
0.07500000000000001	0.7250000000000001	-0.2515513515904861	-0.06138323553720049
0.07500000000000001	0.75	-0.2514260629805105	-0.061925361462417304
0.07500000000000001	0.775	-0.25140084780768657	-0.062034502537128756
0.07500000000000001	0.8	-0.2514763356729682	-0.06170779627320505
0.07500000000000001	0.8250000000000001	-0.2516506418229104	-0.06095380873335358
0.07500000000000001	0.8500000000000001	-0.25191941579219856	-0.05979227801836128
0.07500000000000001	0.875	-0.2522759551007132	-0.05825351835863027
0.07500000000000001	0.9	-0.25271138380211033	-0.056377494023817566
0.07500000000000001	0.925	-0.2532148939219215	-0.054212584566923364
0.07500000000000001	0.9500000000000001	-0.2537740446521131	-0.051814081044668975
0.07500000000000001	0.9750000000000001	-0.2543751101205559	-0.049242473952841814
0.07500000000000001	1.0	-0.2550034625397156	-0.04656161284976202
0.1	0.0	-0.27129026744091445	0.023751715881465754
0.1	0.025	-0.271773377230463	0.026545103488978605
0.1	0.05	-0.27224267372855054	0.029230233967671035
0.1	0.07500000000000001	-0.27268737196563875	0.03174932831904069
0.1	0.1	-0.2730974298763495	0.0340508106225403
0.1	0.125	-0.27346374852117994	0.03608977414695945
0.1	0.15000000000000002	-0.27377833546930597	0.03782818683843488
0.1	0.17500000000000002	-0.2740344328249605	0.039234911392661304
0.1	0.2	-0.27422661328611336	0.04028561182484311
0.1	0.225	-0.27435084868060855	0.040962609144277025
