ky	kz	wcc_0	wcc_1
0.025	0.5	-3.03576608295942e-18	-7.771561172376105e-16
0.025	0.525	-2.810252031082435e-16	-9.992007221626456e-16
0.025	0.55	4.5102810375397034e-17	-2.879640970121505e-16
0.025	0.5750000000000001	1.0213184464813452e-16	-6.938893903907219e-18
0.025	0.6000000000000001	-2.8319360745321415e-16	-8.88178419700126e-16
0.025	0.625	6.661338147750932e-16	-4.579669976578764e-16
0.025	0.65	8.803721640582313e-17	8.88178419700126e-16
0.025	0.675	1.1167282376600715e-16	-9.992007221626427e-16
0.025	0.7000000000000001	-9.974659986866641e-17	-4.440892098500626e-16
0.025	0.7250000000000001	7.979727989493321e-16	-2.2204460492503126e-16
0.025	0.75	4.440892098500625e-16	-6.03683769639929e-16
0.025	0.775	9.714451465470125e-17	-1.5265566588595905e-16
0.025	0.8	1.3877787807814454e-17	-1.0500498040522115e-16
0.025	0.8250000000000001	2.2204460492503136e-16	-5.585809592645323e-16
0.025	0.8500000000000001	2.0816681711721668e-16	4.464744546295313e-16
0.025	0.875	-4.440892098500622e-16	-6.570265165262141e-16
0.025	0.9	-1.5504091066542745e-16	3.3306690738754706e-16
0.025	0.925	-3.469446951953611e-18	-4.683753385137384e-17
0.025	0.9500000000000001	3.417405247674306e-16	-1.4432899320127053e-15
0.025	0.9750000000000001	6.938893903907205e-18	-6.661338147750924e-16
0.025	1.0	5.551115123125783e-16	5.80513245479592e-17
0.05	0.0	-4.076600168545499e-17	7.771561172376087e-16
0.05	0.025	-1.1102230246251536e-16	-6.76542155630952e-17
0.05	0.05	1.2212453270876706e-15	-1.8318679906315063e-15
0.05	0.07500000000000001	-2.4286128663675278e-17	-8.326672684688674e-16
0.05	0.1	1.084202172485504e-18	-1.1102230246251565e-16
0.05	0.125	4.0278110707836484e-17	-8.32667268468864e-17
0.05	0.15000000000000002	-1.1519648082658488e-17	-1.1102230246251573e-16
0.05	0.17500000000000002	-5.273559366969489e-16	6.66133814775093e-16
0.05	0.2	-3.330669073875477e-16	2.3592239273284636e-16
0.05	0.225	-5.551115123125789e-17	1.0701075442431924e-16
0.05	0.25	9.115768578350759e-18	-2.7755575615628877e-17
0.05	0.275	3.4694469519536096e-18	2.8208314725936306e-18
0.05	0.30000000000000004	1.1113072267976388e-17	8.67361737988403e-19
0.05	0.325	-4.1633363423443333e-17	3.479441940731213e-17
0.05	0.35000000000000003	4.1633363423443454e-16	-5.551115123125795e-16
0.05	0.375	4.3219009100703476e-17	2.7755575615628926e-17
0.05	0.4	-1.5463433485074504e-17	2.2204460492503091e-16
0.05	0.42500000000000004	1.4853569763051377e-17	5.551115123125784e-17
0.05	0.45	-1.5775141609664043e-17	4.857225732735056e-16
0.05	0.47500000000000003	-1.408378622058674e-16	-6.661338147750933e-16
0.05	0.5	6.938893903907242e-17	-8.153200337091007e-17
0.05	0.525	-2.2204460492503146e-16	1.0148132334464302e-16
0.05	0.55	-1.0408340855860832e-17	-1.7763568394002485e-15
0.05	0.5750000000000001	5.204170427930429e-18	5.551115123125784e-16
0.05	0.6000000000000001	-2.5804011705155033e-17	3.3306690738754617e-16
0.05	0.625	3.3306690738754667e-16	-5.551115123125778e-16
0.05	0.65	-1.1102230246251533e-16	6.869504964868131e-16
0.05	0.675	-2.5153490401663715e-17	4.440892098500644e-16
0.05	0.7000000000000001	-3.191891195797332e-16	2.2204460492503146e-16
0.05	0.7250000000000001	6.66133814775094e-16	-1.2073675392798571e-15
0.05	0.75	9.992007221626405e-16	-1.2212453270876716e-15
0.05	0.775	4.857225732735055e-16	-7.771561172376087e-16
0.05	0.8	5.342948306008568e-16	-8.881784197001258e-16
0.05	0.8250000000000001	5.551115123125778e-16	-4.71844785465691e-16
0.05	0.8500000000000001	4.1633363423443364e-17	-1.134075472419836e-16
0.05	0.875	-4.44089209850062e-16	3.851086116668505e-16
0.05	0.9	-2.9403562917806806e-16	5.551115123125777e-16
0.05	0.925	-5.5511151231257605e-17	4.891920202254584e-16
0.05	0.9500000000000001	3.3610267347050697e-16	-1.8041124150158863e-16
0.05	0.9750000000000001	-1.3877787807814441e-17	1.6310529796414326e-16
0.05	1.0	3.9052962252927875e-16	-2.6194324487249753e-16
